,kernel,C,coef0,gamma,form_length,dummy,home_rel,minmax,cv_acc_mean,cv_acc_ci,cv_prec_mean,cv_prec_ci,away_precision,away_recall,away_support,draw_precision,draw_recall,draw_support,home_precision,home_recall,home_support,ovr_acc,train_time
198,linear,1.0,-1,scale,5,True,True,False,0.4022074302670163,0.02234838696055341,0.37444736451373384,0.02211953114631916,0.3583509513742072,0.3251798561151079,2085,0.25,0.09703113685734975,1381,0.4474835886214442,0.6249045072574484,2618,0.40236686390532544,57.334922552108765
199,linear,1.0,-1,scale,5,True,True,True,0.41446951837594226,0.030881132124105662,0.36537535832789647,0.05356647718221818,0.37130339539978097,0.3251798561151079,2085,0.2582781456953642,0.028240405503258507,1381,0.4392500608716825,0.6890756302521008,2618,0.4143655489809336,16.363442420959473
200,rbf,1.0,-1,scale,5,False,False,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,9.884168148040771
201,rbf,1.0,-1,scale,5,False,False,True,0.43463382639312054,0.02337643878293767,0.3286962366869265,0.024411504275387075,0.38849840255591056,0.29160671462829735,2085,0.0,0.0,1381,0.45096302855877796,0.7780748663101604,2618,0.4347468770545694,10.875856876373291
202,rbf,1.0,-1,scale,5,False,True,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,5.979021310806274
203,rbf,1.0,-1,scale,5,False,True,True,0.42404500024965663,0.017621714872549314,0.3252737006870635,0.030179298101318506,0.3744725738396624,0.3405275779376499,2085,0.1111111111111111,0.000724112961622013,1381,0.44675759751136634,0.7131398013750955,2618,0.4237343852728468,6.5293288230896
204,rbf,1.0,-1,scale,5,True,False,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,20.822880744934082
205,rbf,1.0,-1,scale,5,True,False,True,0.42538419736352867,0.014325216191089183,0.31841662507870966,0.01684499727923821,0.37697160883280756,0.22925659472422064,2085,0.0,0.0,1381,0.4381229235880399,0.8059587471352178,2618,0.4253780407626562,22.639296770095825
206,rbf,1.0,-1,scale,5,True,True,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,16.629962682724
207,rbf,1.0,-1,scale,5,True,True,True,0.42820697555255316,0.01274870992463044,0.3199200618065762,0.020758917915072946,0.3826955074875208,0.22062350119904076,2085,0.0,0.0,1381,0.4391642769356821,0.8189457601222307,2618,0.4280078895463511,17.849313020706177
208,sigmoid,1.0,-1,scale,5,False,False,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,9.46908974647522
209,sigmoid,1.0,-1,scale,5,False,False,True,0.4173995180414508,0.02365732020472025,0.30123859705811995,0.05245374324401904,0.3664516129032258,0.2724220623501199,2085,0.0,0.0,1381,0.43405381561535067,0.7517188693659282,2618,0.4168310322156476,10.300158739089966
210,sigmoid,1.0,-1,scale,5,False,True,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,5.601016998291016
211,sigmoid,1.0,-1,scale,5,False,True,True,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,6.373182058334351
212,sigmoid,1.0,-1,scale,5,True,False,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,20.37792181968689
213,sigmoid,1.0,-1,scale,5,True,False,True,0.42717741087135985,0.013851248209900363,0.3200154271708441,0.01593986529626864,0.382398753894081,0.2354916067146283,2085,0.0,0.0,1381,0.43967493227755783,0.8059587471352178,2618,0.4275147928994083,21.99743413925171
214,sigmoid,1.0,-1,scale,5,True,True,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,16.292133331298828
215,sigmoid,1.0,-1,scale,5,True,True,True,0.4273089872035206,0.01167840722052553,0.31998015671381735,0.020712569478753065,0.3857388316151203,0.21534772182254197,2085,0.0,0.0,1381,0.4369918699186992,0.8212375859434683,2618,0.4271860618014464,17.830472469329834
216,linear,1.0,-1,auto,5,False,False,False,0.41886252546861524,0.01699653810081826,0.38385692621902207,0.023595368871250515,0.3938244853737812,0.3486810551558753,2085,0.2290748898678414,0.07530774800868936,1381,0.45295983086680763,0.6546982429335371,2618,0.418310322156476,93.59105587005615
217,linear,1.0,-1,auto,5,False,False,True,0.436833034957265,0.017962519521811812,0.33310098008056965,0.015120130018660183,0.39978847170809095,0.36258992805755397,2085,0.0,0.0,1381,0.4538516575244455,0.726890756302521,2618,0.4370479947403024,9.25017237663269
218,linear,1.0,-1,auto,5,False,True,False,0.42031606048574943,0.017233568890407645,0.39334172328031125,0.04006163954448409,0.3841028081865778,0.38705035971223023,2085,0.26223776223776224,0.05430847212165098,1381,0.4530700568028131,0.6398013750954927,2618,0.4202827087442472,48.356650590896606
219,linear,1.0,-1,auto,5,False,True,True,0.4412982146397696,0.011671678266865845,0.33458124615573637,0.012322264528142822,0.4057877813504823,0.3026378896882494,2085,0.0,0.0,1381,0.45308015014351954,0.7838044308632544,2618,0.44099276791584485,4.653746128082275
220,linear,1.0,-1,auto,5,True,False,False,0.3935903972837355,0.019334951788864956,0.36551202741572847,0.010870211203435414,0.35831889081455803,0.39664268585131895,2085,0.23481781376518218,0.08399710354815351,1381,0.4418037781840341,0.5538579067990833,2618,0.39332675871137407,85.72566199302673
221,linear,1.0,-1,auto,5,True,False,True,0.4136967655646385,0.028473626327734095,0.36334540343924526,0.051007458089163106,0.3695198329853862,0.339568345323741,2085,0.26282051282051283,0.029688631426502535,1381,0.4411764705882353,0.6760886172650878,2618,0.41403681788297175,20.381210327148438
222,linear,1.0,-1,auto,5,True,True,False,0.4022074302670163,0.02234838696055341,0.37444736451373384,0.02211953114631916,0.3583509513742072,0.3251798561151079,2085,0.25,0.09703113685734975,1381,0.4474835886214442,0.6249045072574484,2618,0.40236686390532544,58.534708738327026
223,linear,1.0,-1,auto,5,True,True,True,0.41446951837594226,0.030881132124105662,0.36537535832789647,0.05356647718221818,0.37130339539978097,0.3251798561151079,2085,0.2582781456953642,0.028240405503258507,1381,0.4392500608716825,0.6890756302521008,2618,0.4143655489809336,16.216671466827393
224,rbf,1.0,-1,auto,5,False,False,False,0.43024777090535204,0.006166400090191459,0.2782316874722861,0.18628670297248184,0.5,0.0009592326139088729,2085,0.0,0.0,1381,0.43026315789473685,0.9992360580595875,2618,0.43030900723208415,11.51731538772583
225,rbf,1.0,-1,auto,5,False,False,True,0.43138598228746583,0.004149551919401414,0.2507209483886057,0.11632800279346686,0.5769230769230769,0.007194244604316547,2085,0.0,0.0,1381,0.43083525916143944,0.9969442322383499,2618,0.4314595660749507,10.917468547821045
226,rbf,1.0,-1,auto,5,False,True,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,7.287265300750732
227,rbf,1.0,-1,auto,5,False,True,True,0.433987608303726,0.004070449187195007,0.2772244329871001,0.1640125883552512,0.48760330578512395,0.028297362110311752,2085,0.0,0.0,1381,0.4330035217172564,0.9862490450725745,2618,0.4340894148586456,6.7422566413879395
228,rbf,1.0,-1,auto,5,True,False,False,0.4186172220436652,0.013424704863384774,0.3367602821449081,0.035722132190992496,0.3624641833810888,0.24268585131894485,2085,0.12345679012345678,0.00724112961622013,1381,0.4410679400911656,0.7761650114591291,2618,0.4188034188034188,24.09894037246704
229,rbf,1.0,-1,auto,5,True,False,True,0.43008516927933577,0.007002336531632518,0.18509609134358293,0.0057622114551892775,0.0,0.0,2085,0.0,0.0,1381,0.43021535426598717,0.9996180290297937,2618,0.43014464168310323,23.036619186401367
230,rbf,1.0,-1,auto,5,True,True,False,0.42190304304808,0.011926863457017621,0.37416515921435406,0.02183348778960212,0.37765634486945965,0.2983213429256595,2085,0.24778761061946902,0.020275162925416364,1381,0.4433395004625347,0.7322383498854087,2618,0.42192636423405655,20.438090562820435
231,rbf,1.0,-1,auto,5,True,True,True,0.43008516927933577,0.007002336531632518,0.2087349327911081,0.06066332037873692,0.3333333333333333,0.0009592326139088729,2085,0.0,0.0,1381,0.43024021059559064,0.9988540870893812,2618,0.43014464168310323,18.158811807632446
232,sigmoid,1.0,-1,auto,5,False,False,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,7.438528060913086
233,sigmoid,1.0,-1,auto,5,False,False,True,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,11.305893421173096
234,sigmoid,1.0,-1,auto,5,False,True,False,0.43024777090535193,0.006605247674665656,0.18513578351410603,0.0056661989400014125,0.0,0.0,2085,0.0,0.0,1381,0.43030900723208415,1.0,2618,0.43030900723208415,3.7665188312530518
