,dummy_teams,dummy_coaches,scale,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,acc_train,ci_train,acc_test,ci_test,time
477,False,False,std,50,2,16,log2,,entropy,64.81246915109381,1.2605764653915275,54.75923428923312,1.6860084177685166,38.12
478,False,False,std,200,2,16,log2,,entropy,65.48715876567773,1.263480300442276,55.047660505165254,1.1852844695750062,43.47
479,False,False,std,500,2,16,log2,,entropy,65.67259832065253,0.9398615366405348,55.274103644876675,1.3417056943102745,53.86
480,False,False,std,50,8,16,log2,,entropy,64.63735080136209,1.1924502101299828,54.615201673267016,1.946353793493208,37.41
481,False,False,std,200,8,16,log2,,entropy,65.60563050058707,1.153721056569647,54.94463142471891,1.3048359084328243,42.9
482,False,False,std,500,8,16,log2,,entropy,65.62623710578711,1.028013955648541,54.77985284593416,1.6249224639285318,53.36
483,False,False,std,50,32,16,log2,,entropy,65.04425002910837,0.6402174854021274,55.21235414653827,1.4125500456473128,37.95
484,False,False,std,200,32,16,log2,,entropy,65.45629726131997,0.7579221269994053,55.2126089587735,1.7695809294501519,43.02
485,False,False,std,500,32,16,log2,,entropy,65.34295231292865,1.2050717551969214,55.027063182817166,1.562861292529117,54.2
486,False,False,,50,2,1,,100.0,gini,96.9046038436842,0.7915941845198082,80.59313918056633,0.9281413558866712,87.3
487,False,False,,200,2,1,,100.0,gini,97.1672979448031,0.8712440001133889,80.84041322050814,1.3078385285621352,266.04
488,False,False,,500,2,1,,100.0,gini,97.37844171681837,0.5762799782383217,81.00521303364583,1.2428055775295925,626.08
489,False,False,,50,8,1,,100.0,gini,95.86938019458451,1.0722472270496426,79.91332137131452,0.8742140482653051,87.63
490,False,False,,200,8,1,,100.0,gini,96.15781166578657,0.6230542125506816,81.02570418422924,1.3647319270411165,266.15
491,False,False,,500,8,1,,100.0,gini,96.26594097750554,0.8389348440925266,80.7787061908756,1.0023553475799754,630.19
492,False,False,,50,32,1,,100.0,gini,89.81769937510492,1.288978116616341,77.09102105386094,0.7176430397473775,85.58
493,False,False,,200,32,1,,100.0,gini,90.22456942817367,1.298645593626417,77.6265514349114,1.4007735039913347,260.56
494,False,False,,500,32,1,,100.0,gini,90.14216024695568,1.1923322493091215,77.58531432150934,0.8315735943456967,618.35
495,False,False,,50,2,4,,100.0,gini,93.85559144630282,0.9949392666515936,80.14012549502586,1.2884963802745146,86.28
496,False,False,,200,2,4,,100.0,gini,94.23155225463233,0.8983160992136578,79.99592300423625,0.7881703623541031,258.73
497,False,False,,500,2,4,,100.0,gini,94.31910678807222,0.9915607227810924,79.99590176988332,1.0116545909253378,610.62
498,False,False,,50,8,4,,100.0,gini,93.96890058940805,1.0583781564157766,80.22232367524182,1.4201196536357632,85.29
499,False,False,,200,8,4,,100.0,gini,93.79377295682438,0.7365964905064714,80.2844129232272,1.2251285184502405,259.63
500,False,False,,500,8,4,,100.0,gini,94.19550030991465,1.0317111263601249,80.1812352023103,0.4710484161643058,615.28
501,False,False,,50,32,4,,100.0,gini,88.88551803485737,1.2076868848243987,76.555320797987,1.3492916679654892,84.63
502,False,False,,200,32,4,,100.0,gini,89.60648797088261,1.225024684545245,78.1212056865597,0.693866405705858,257.37
503,False,False,,500,32,4,,100.0,gini,89.71465308788765,1.014919294184729,77.52364976058267,0.2686713007067172,603.56
504,False,False,,50,2,16,,100.0,gini,74.88668687852963,0.7236350135842392,61.99012602588467,1.3371268116635069,66.09
505,False,False,,200,2,16,,100.0,gini,75.35026322189756,1.323546426877194,62.89642944355378,1.8197573426160478,192.69
506,False,False,,500,2,16,,100.0,gini,75.35022476436806,1.5749600688583028,62.48450423094482,1.9141450194959184,445.39
507,False,False,,50,8,16,,100.0,gini,75.1030502655824,0.8568814569487911,62.381560087910216,1.1685193862001488,67.87
508,False,False,,200,8,16,,100.0,gini,75.16998360648347,1.5909024510994993,62.196014311953874,1.898792526000872,203.17
509,False,False,,500,8,16,,100.0,gini,75.33994599501962,1.969343414576421,62.67002877254822,1.969430103243511,463.9
510,False,False,,50,32,16,,100.0,gini,74.93816824930451,1.8961508284284017,61.82538991580579,1.1218097014744037,69.88
511,False,False,,200,32,16,,100.0,gini,75.5820162513563,2.0955563264386314,62.360856593797436,2.0619729431385503,201.72
512,False,False,,500,32,16,,100.0,gini,75.10301180805291,1.797351497834204,62.29917079851784,1.8360292242333225,464.32
513,False,False,,50,2,1,sqrt,100.0,gini,98.0377125143188,0.3332416036393632,73.73295677747458,1.9129098870352212,21.07
514,False,False,,200,2,1,sqrt,100.0,gini,98.46517988973564,0.23567475626678866,74.74222557253124,2.232421116052141,28.46
515,False,False,,500,2,1,sqrt,100.0,gini,98.51153712623591,0.1698048525202422,74.72188306241837,1.611233462854891,44.68
516,False,False,,50,8,1,sqrt,100.0,gini,96.76040004317852,0.6173654791146412,73.5475596419888,1.1641081226202508,21.44
517,False,False,,200,8,1,sqrt,100.0,gini,96.97156105477599,0.4492666622311556,74.68064594901632,1.7850591753792537,28.86
518,False,False,,500,8,1,sqrt,100.0,gini,97.09003278968532,0.22601009016084136,74.61879027891322,1.3244591846606772,43.57
519,False,False,,50,32,1,sqrt,100.0,gini,90.44603440543202,0.9851340625662747,72.88814804590866,1.7762608085031675,20.17
520,False,False,,200,32,1,sqrt,100.0,gini,91.13100809385122,0.8088787004823597,73.79476997887181,1.698979147453594,27.36
521,False,False,,500,32,1,sqrt,100.0,gini,91.2803957041083,0.6042008756722236,74.06259887245588,1.5123325617626646,42.38
522,False,False,,50,2,4,sqrt,100.0,gini,89.68890510883084,0.3153027450750005,73.52691985093485,1.9198957351207833,20.51
523,False,False,,200,2,4,sqrt,100.0,gini,90.50783565532824,0.5742880041019777,74.1036448766815,1.6071927728513884,27.34
524,False,False,,500,2,4,sqrt,100.0,gini,90.42542249574514,0.25719519444944355,74.24791107052991,1.9532036088646352,42.19
525,False,False,,50,8,4,sqrt,100.0,gini,89.43656934436277,0.5850806848447633,72.9912832981197,1.7113132046142019,20.37
526,False,False,,200,8,4,sqrt,100.0,gini,90.50267704188927,0.19116664416531093,73.8359009205092,1.925276769840314,27.03
527,False,False,,500,8,4,sqrt,100.0,gini,90.52844226052828,0.33728515012022664,74.14481828702475,1.908977312872957,41.72
528,False,False,,50,32,4,sqrt,100.0,gini,88.48887901075564,0.6195019795670951,72.9708133818892,1.9323918666603048,20.51
529,False,False,,200,32,4,sqrt,100.0,gini,89.05027141732971,0.43557707906307247,73.79460010404833,1.665424438070658,27.69
530,False,False,,500,32,4,sqrt,100.0,gini,89.19448052232221,0.4268967088184365,73.91826897554864,1.3630857041496924,41.47
531,False,False,,50,2,16,sqrt,100.0,gini,70.08134960997435,1.0364806914290288,58.055081911516446,1.6938990842136707,20.23
532,False,False,,200,2,16,sqrt,100.0,gini,70.56547818755232,0.6215011429780117,58.178899423487316,1.891100879387637,25.85
533,False,False,,500,2,16,sqrt,100.0,gini,70.63243009415729,0.5248327154787943,58.50843534670389,1.3848079823767776,38.97
534,False,False,,50,8,16,sqrt,100.0,gini,70.63240887620998,0.816871435304575,58.467283170713586,2.18055329385487,20.22
535,False,False,,200,8,16,sqrt,100.0,gini,70.66336188296552,0.3825505783319333,57.869960822618836,1.759756471906537,25.88
536,False,False,,500,8,16,sqrt,100.0,gini,70.83843912292431,0.6940107949153257,58.40551243802224,1.5181622106041084,38.55
537,False,False,,50,32,16,sqrt,100.0,gini,70.19978819184101,0.678182961519531,57.457886969539324,1.5675821862939407,20.4
538,False,False,,200,32,16,sqrt,100.0,gini,70.71996340964988,0.8454111105333266,58.40542750061049,1.7662294380923336,26.01
539,False,False,,500,32,16,sqrt,100.0,gini,70.74574852011449,0.5269218713292987,58.5290963721108,1.8763108232747283,38.52
540,False,False,,50,2,1,log2,100.0,gini,99.30469847572918,0.2617353912521529,63.67942497372248,2.536305913915411,20.19
541,False,False,,200,2,1,log2,100.0,gini,99.83518428980744,0.05809984691485054,65.98670729506195,2.4698465122036426,25.26
542,False,False,,500,2,1,log2,100.0,gini,99.93304676727332,0.02858814543971436,65.90436047437545,1.3675240615751263,37.06
543,False,False,,50,8,1,log2,100.0,gini,97.10548873817663,0.551265011984367,64.97735356259356,2.129603236132586,20.0
544,False,False,,200,8,1,log2,100.0,gini,98.19734971924677,0.3109783292800666,65.86322953273806,2.074115350712128,25.29
545,False,False,,500,8,1,log2,100.0,gini,98.4497212890009,0.1699745103438701,65.945767462601,2.6763941997362424,36.72
546,False,False,,50,32,1,log2,100.0,gini,88.68973870893565,0.5937471833717299,64.91526431460817,3.4147179092862143,19.61
547,False,False,,200,32,1,log2,100.0,gini,90.16794005293347,0.6081619521862838,65.45119814836441,2.661155593329269,25.18
548,False,False,,500,32,1,log2,100.0,gini,90.6623473998599,0.31419826941233386,65.82222599721831,2.177384369789226,35.82
549,False,False,,50,2,4,log2,100.0,gini,84.04406384162075,0.4706898646625272,64.54485226198945,2.854998348420852,20.04
550,False,False,,200,2,4,log2,100.0,gini,85.70767954428092,0.45293185004299735,64.64777517067111,2.300551120840031,25.64
551,False,False,,500,2,4,log2,100.0,gini,86.18667072636725,0.5148140848130066,64.93645619883848,2.7223891087869916,36.25
552,False,False,,50,8,4,log2,100.0,gini,84.1779915250214,0.8690728502556281,64.48329387282745,2.7944759974575684,19.74
553,False,False,,200,8,4,log2,100.0,gini,85.45016660067002,0.8081567954480922,65.0596579145742,1.8011598607270711,25.68
554,False,False,,500,8,4,log2,100.0,gini,85.9652044229872,0.4341668836067091,65.40989733190357,1.994533241360382,35.2
555,False,False,,50,32,4,log2,100.0,gini,83.72472975628801,0.9600846946408901,64.0503041821058,2.783055190819156,19.71
556,False,False,,200,32,4,log2,100.0,gini,85.1205126362159,0.3017687011668635,64.89494303884825,2.0282742819938266,24.63
